Player,GP,GS,MIN,PTS,FGM,FGA,FG%,3 Points Made,3PA,3P%,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,TOV,PF
Jaden Ivey,57,56,30.1,15.32,5.21,12.4,0.42,1.42,4.23,0.336,3.47,4.79,0.725,0.98,2.89,3.88,4.68,0.89,0.26,2.84,3.11
Johnny Davis,13,0,4.7,1.23,0.46,1.38,0.333,0.08,0.31,0.25,0.23,0.23,1,0.08,0.54,0.62,0.15,0.08,0.08,0.15,1
Dalen Terry,24,0,5.2,1.92,0.75,1.67,0.45,0.21,0.62,0.333,0.21,0.42,0.5,0.29,0.46,0.75,0.58,0.17,0.17,0.25,0.42
Malaki Branham,47,14,22.5,9.47,3.74,8.4,0.446,1.17,3.72,0.314,0.81,1.02,0.792,0.4,1.81,2.21,1.98,0.51,0.15,1.09,1.7
MarJon Beauchamp,39,9,14.5,5.62,2.05,5.18,0.396,0.97,3.05,0.319,0.54,0.74,0.724,0.87,1.49,2.36,0.67,0.46,0.1,0.92,1.54
Blake Wesley,17,1,13.9,4.47,1.71,4.59,0.372,0.53,1.24,0.429,0.53,0.88,0.6,0.18,1.35,1.53,1.53,0.41,0.06,1.41,1.94
TyTy Washington Jr.,24,1,13.6,4.58,1.88,5.12,0.366,0.5,2.33,0.214,0.33,0.58,0.571,0.08,1.29,1.38,1.54,0.46,0.04,0.42,1.12
Andrew Nembhard,55,43,27,8.11,3.22,7.62,0.422,1.2,3.53,0.34,0.47,0.55,0.867,0.49,2.22,2.71,4.07,1,0.18,1.67,2.58
Max Christie,35,3,14.2,3.6,1.23,2.94,0.417,0.74,1.77,0.419,0.4,0.46,0.875,0.2,1.91,2.11,0.54,0.23,0.2,0.37,0.91
Kennedy Chandler,25,0,9,2.44,1.08,2.72,0.397,0.08,0.56,0.143,0.2,0.44,0.455,0.28,0.96,1.24,1.88,0.44,0.2,0.64,0.52
Bryce McGowens,26,1,14.7,4.08,1.38,3.65,0.379,0.46,1.27,0.364,0.85,1.08,0.786,0.35,1.35,1.69,1.04,0.27,0.15,0.58,0.81
Ryan Rollins,12,0,5.2,1.92,0.58,1.67,0.35,0.25,0.75,0.333,0.5,0.5,1,0.25,0.75,1,0.5,0.08,0.08,1.33,0.83
Tyrese Martin,13,0,3.5,1.15,0.46,1.23,0.375,0.08,0.38,0.2,0.15,0.15,1,0.15,0.31,0.46,0,0.08,0,0.08,0.15
JD Davison,6,0,2.3,0.67,0.33,1.33,0.25,0,0.5,0,0,0,0,0,0.33,0.33,0.17,0.17,0,0.17,0
Paolo Banchero,54,54,33.7,19.69,6.44,15.41,0.418,1.13,4.07,0.277,5.67,7.54,0.752,1.17,5.44,6.61,3.57,0.93,0.48,2.69,2.24
Jabari Smith,56,56,30,12.02,4.21,10.93,0.386,1.59,5.29,0.301,2,2.5,0.8,1.32,5.75,7.07,1.18,0.5,0.95,1.46,2.95
Keegan Murray,57,55,29.7,11.89,4.28,9.58,0.447,2.46,5.95,0.413,0.88,1.11,0.794,1.09,3.44,4.53,1.09,0.74,0.56,0.86,1.88
Bennedict Mathurin,62,6,28.3,17.27,5.48,12.74,0.43,1.4,4.32,0.325,4.9,5.92,0.828,1.13,2.98,4.11,1.45,0.63,0.11,1.81,2.11
Jeremy Sochan,49,46,26,10.22,4.14,9.24,0.448,0.59,2.27,0.261,1.35,1.94,0.695,1.71,3.22,4.94,2.51,0.73,0.45,1.71,2.51
Jalen Williams,55,42,29.2,12.31,4.93,9.71,0.507,0.87,2.71,0.322,1.58,2.07,0.763,1,3.2,4.2,2.89,1.24,0.53,1.56,2.6
Ochai Agbaji,39,2,15.6,5,1.85,3.82,0.483,0.92,2.33,0.396,0.38,0.56,0.682,0.69,1.08,1.77,0.56,0.15,0.13,0.33,1.44
A.J. Griffin,56,11,20.4,9.34,3.7,7.73,0.478,1.48,3.75,0.395,0.46,0.54,0.867,0.46,1.59,2.05,1.02,0.68,0.12,0.59,1.23
Tari Eason,59,3,19.5,8.61,3.32,7.54,0.44,0.68,1.98,0.342,1.29,1.73,0.745,2.2,3.32,5.53,0.95,1.1,0.56,1.08,2.19
Jake LaRavia,31,0,12.4,3.1,1.1,2.81,0.391,0.68,2.03,0.333,0.23,0.29,0.778,0.52,1.39,1.9,0.68,0.39,0.13,0.58,1.52
Christian Braun,56,3,15.4,4.45,1.79,3.57,0.5,0.45,1.14,0.391,0.43,0.73,0.585,0.7,1.7,2.39,0.79,0.46,0.2,0.46,1.25
David Roddy,48,1,17.4,6.25,2.4,5.69,0.421,0.83,2.85,0.292,0.62,1,0.625,0.65,1.98,2.62,0.62,0.48,0.25,0.92,1.5
Wendell Moore Jr.,24,2,5.8,1.5,0.62,1.54,0.405,0.08,0.67,0.125,0.17,0.21,0.8,0.08,0.58,0.67,0.67,0.25,0.21,0.33,0.54
Patrick Baldwin Jr.,18,0,8.6,5.67,1.94,4.22,0.461,1.56,3.28,0.475,0.22,0.33,0.667,0.06,1.39,1.44,0.22,0.33,0.06,0.44,0.44
EJ Liddell,2,2,18.6,4,2,4.5,0.444,0,0.5,0,0,0,0,0.5,3.5,4,1,0,0.5,0.5,2.5
Jabari Walker,39,0,9,2.82,1.08,2.36,0.457,0.13,0.62,0.208,0.54,0.74,0.724,0.82,1.26,2.08,0.54,0.1,0.18,0.36,1.03
