Player,GP,GS,MIN,PTS,FGM,FGA,FG%,3 Points Made,3PA,3P%,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,TOV,PF
Cade Cunningham,27.0,26.0,35.4,20.2,6.5,14.8,0.4,2.3,5.7,0.4,4.9,5.8,0.8,0.7,5.5,6.2,3.5,1.6,0.8,4.0,2.5
Jalen Suggs,30.0,30.0,28.9,14.4,5.2,10.3,0.5,1.2,3.5,0.3,2.9,3.8,0.8,0.6,4.7,5.3,4.5,1.9,0.3,2.9,2.6
Franz Wagner,28.0,26.0,31.8,12.5,4.4,9.3,0.5,1.3,3.6,0.3,2.4,2.8,0.8,0.7,5.8,6.5,3.0,1.3,1.0,1.3,2.2
Davion Mitchell,30.0,30.0,32.4,14.0,5.3,10.3,0.5,2.1,4.7,0.4,1.4,2.1,0.6,0.5,2.2,2.7,5.5,1.9,0.4,2.4,2.4
James Bouknight,15.0,14.0,31.6,18.7,6.5,14.6,0.4,1.5,5.0,0.3,4.2,5.4,0.8,1.5,4.1,5.7,1.8,1.1,0.3,2.8,1.9
Joshua Primo,30.0,19.0,22.4,8.1,2.8,6.5,0.4,1.4,3.8,0.4,1.1,1.5,0.8,1.0,2.3,3.4,0.8,0.6,0.3,1.4,1.7
Chris Duarte,26.0,26.0,34.0,17.1,6.2,11.6,0.5,2.4,5.5,0.4,2.5,3.0,0.8,0.7,3.9,4.6,2.7,1.9,0.8,2.3,1.4
Moses Moody,32.0,32.0,33.7,16.8,5.2,12.1,0.4,1.8,5.1,0.4,4.7,5.8,0.8,2.0,3.8,5.8,1.6,1.0,0.7,1.6,2.3
Corey Kispert,32.0,32.0,31.8,18.6,6.5,12.3,0.5,2.8,6.5,0.4,2.7,3.1,0.9,0.9,4.0,5.0,1.8,0.9,0.4,1.3,1.7
Trey Murphy III,25.0,21.0,29.6,11.3,3.8,7.6,0.5,2.1,4.8,0.4,1.5,1.6,0.9,0.6,2.8,3.4,1.2,0.8,0.4,0.8,2.0
Tre Mann,24.0,24.0,32.4,16.0,5.5,12.1,0.5,1.9,4.7,0.4,3.1,3.7,0.8,0.7,5.0,5.6,3.5,1.4,0.1,2.8,2.4
Jalen Johnson,13.0,8.0,21.4,11.2,4.4,8.4,0.5,0.6,1.4,0.4,1.9,2.9,0.6,1.5,4.5,6.1,2.2,1.2,1.2,2.5,2.2
Keon Johnson,27.0,17.0,25.5,11.3,4.1,9.2,0.4,0.5,1.8,0.3,2.6,3.7,0.7,1.1,2.4,3.5,2.5,1.1,0.4,2.6,2.4
Josh Christopher,15.0,15.0,29.8,14.3,5.1,11.7,0.4,1.2,3.9,0.3,2.9,3.7,0.8,0.7,4.1,4.7,1.4,1.5,0.5,1.7,3.2
Quentin Grimes,30.0,30.0,32.7,17.8,5.8,14.2,0.4,3.3,8.3,0.4,3.0,3.8,0.8,1.6,4.1,5.7,2.0,1.4,0.3,1.8,2.2
Cam Thomas,29.0,29.0,33.9,23.0,7.0,17.2,0.4,2.3,7.2,0.3,6.7,7.6,0.9,0.6,2.8,3.4,1.5,0.9,0.2,1.7,1.4
Jaden Springer,25.0,15.0,26.0,12.5,4.2,9.1,0.5,0.8,1.8,0.4,3.2,4.0,0.8,1.0,2.5,3.5,2.9,1.2,0.4,2.4,2.0
Jason Preston,20.0,19.0,34.5,15.7,6.4,12.4,0.5,1.6,4.1,0.4,1.4,2.4,0.6,1.1,6.2,7.3,7.3,1.5,0.3,3.0,1.4
Herbert Jones,33.0,33.0,27.3,11.2,3.9,8.8,0.4,0.6,1.7,0.4,2.8,3.9,0.7,2.5,4.1,6.6,3.3,1.7,1.1,2.8,2.9
Miles McBride,29.0,28.0,34.2,15.8,5.4,12.5,0.4,1.6,3.8,0.4,3.5,4.2,0.8,1.2,2.7,3.9,4.9,1.9,0.3,1.8,1.7
Ayo Dosunmu,28.0,28.0,35.2,20.1,7.5,15.4,0.5,1.1,3.0,0.4,4.0,5.1,0.8,1.1,5.2,6.3,5.3,1.1,0.2,3.3,2.1
Jared Butler,30.0,30.0,30.4,16.7,5.9,12.5,0.5,2.6,6.2,0.4,2.4,3.0,0.8,0.4,2.9,3.3,4.8,2.0,0.4,2.8,2.4
Joe Wieskamp,31.0,31.0,29.3,14.8,5.2,10.6,0.5,2.4,5.1,0.5,2.1,3.1,0.7,1.2,5.5,6.7,1.7,0.9,0.3,1.4,1.6
Dalano Banton,27.0,22.0,741.0,258.0,90.0,219.0,0.4,20.0,81.0,0.2,58.0,88.0,0.7,27.0,132.0,159.0,105.0,26.0,25.0,67.0,56.0
David Johnson,19.0,19.0,35.1,12.6,4.7,11.5,0.4,1.7,4.4,0.4,1.5,2.1,0.7,0.9,4.9,5.8,3.2,1.1,0.3,3.2,2.7
Sharife Cooper,12.0,12.0,33.3,20.2,6.0,15.3,0.4,1.1,4.8,0.2,7.1,8.6,0.8,0.7,3.6,4.3,8.1,1.0,0.3,4.2,2.7
Marcus Zegarowski,29.0,29.0,33.6,15.8,5.6,12.0,0.5,2.8,6.6,0.4,1.9,2.4,0.8,0.3,3.3,3.6,4.3,1.3,0.1,2.1,1.9
Filip Petrušev,33.0,33.0,25.9,17.5,6.3,11.3,0.6,0.1,0.3,0.2,4.7,7.2,0.7,2.4,5.6,7.9,1.5,0.6,0.8,2.1,1.7
Brandon Boston Jr.,25.0,24.0,30.3,11.5,4.1,11.6,0.4,1.2,4.0,0.3,2.0,2.6,0.8,1.3,3.2,4.5,1.6,1.3,0.2,1.4,2.0
Aaron Wiggins,31.0,30.0,33.0,14.5,5.3,11.9,0.4,1.8,5.2,0.4,2.0,2.6,0.8,1.1,4.7,5.8,2.6,1.1,0.6,2.0,2.0
Scottie Lewis,21.0,9.0,25.7,7.9,2.7,6.1,0.4,0.7,2.1,0.3,1.8,2.6,0.7,0.8,2.3,3.1,1.5,1.6,1.1,1.9,2.5
