Player,GP,GS,MIN,PTS,FGM,FGA,FGP,3PMade,3PA,3P,FTM,FTA,FTP,OFF,DEF,TRB,AST,STL,BLK,TOV,PF,NBA_PTS
Cade Cunningham,27,26,35.4,20.15,6.48,14.81,0.44,2.3,5.74,0.4,4.89,5.78,0.85,0.7,5.48,6.19,3.48,1.59,0.78,4.04,2.48,17.41
Jalen Suggs,30,30,28.9,14.37,5.17,10.27,0.5,1.17,3.47,0.34,2.87,3.77,0.76,0.6,4.73,5.33,4.53,1.9,0.33,2.93,2.6,11.75
Franz Wagner,28,26,31.8,12.46,4.43,9.29,0.48,1.25,3.64,0.34,2.36,2.82,0.84,0.71,5.82,6.54,3,1.25,1.04,1.29,2.21,15.15
Davion Mitchell,30,30,32.4,14,5.27,10.3,0.51,2.1,4.7,0.45,1.37,2.13,0.64,0.47,2.2,2.67,5.5,1.9,0.37,2.43,2.37,11.48
James Bouknight,15,14,31.6,18.73,6.53,14.6,0.45,1.47,5,0.29,4.2,5.4,0.78,1.53,4.13,5.67,1.8,1.13,0.27,2.8,1.87,4.58
Joshua Primo,30,19,22.4,8.13,2.8,6.5,0.43,1.43,3.77,0.38,1.1,1.47,0.75,1.03,2.33,3.37,0.83,0.57,0.3,1.37,1.67,5.76
Chris Duarte,26,26,34,17.12,6.15,11.58,0.53,2.35,5.54,0.42,2.46,3.04,0.81,0.73,3.88,4.62,2.65,1.88,0.81,2.27,1.38,13.09
Moses Moody,32,32,33.7,16.84,5.16,12.06,0.43,1.81,5.06,0.36,4.72,5.81,0.81,2,3.75,5.75,1.59,1.03,0.66,1.62,2.31,4.38
Corey Kispert,32,32,31.8,18.59,6.53,12.34,0.53,2.84,6.47,0.44,2.69,3.06,0.88,0.94,4.03,4.97,1.81,0.91,0.44,1.31,1.69,8.23
Trey Murphy III,25,21,29.6,11.28,3.84,7.64,0.5,2.08,4.8,0.43,1.52,1.64,0.93,0.6,2.8,3.4,1.2,0.8,0.44,0.76,1.96,5.39
Tre Mann,24,24,32.4,16.04,5.54,12.08,0.46,1.88,4.67,0.4,3.08,3.71,0.83,0.67,4.96,5.62,3.46,1.38,0.12,2.83,2.38,10.42
Jalen Johnson,13,8,21.4,11.23,4.38,8.38,0.52,0.62,1.38,0.44,1.85,2.92,0.63,1.54,4.54,6.08,2.23,1.15,1.23,2.54,2.23,2.36
Keon Johnson,27,17,25.5,11.33,4.11,9.15,0.45,0.48,1.78,0.27,2.63,3.74,0.7,1.07,2.44,3.52,2.48,1.11,0.44,2.63,2.37,7.22
Josh Christopher,15,15,29.8,14.27,5.07,11.73,0.43,1.2,3.93,0.31,2.93,3.67,0.8,0.67,4.07,4.73,1.4,1.47,0.53,1.73,3.2,7.93
Quentin Grimes,30,30,32.7,17.83,5.77,14.2,0.41,3.33,8.27,0.4,2.97,3.77,0.79,1.6,4.1,5.7,1.97,1.4,0.3,1.83,2.2,5.98
